movie_id,title,genre,director,language,release_year,rating,duration_min,popularity
1,Movie_1,"Action, Fantasy",Arjun Gupta,English,2017,4.4,80,8158
2,Movie_2,"Drama, Adventure",Arjun Gupta,Spanish,2005,8.3,100,898
3,Movie_3,"Thriller, Action, Romance",Priya Singh,French,2015,4.6,169,5124
4,Movie_4,"Drama, Comedy, Romance",Raj Mehta,English,2006,7.0,89,7713
5,Movie_5,Thriller,Priya Singh,English,2018,7.4,171,9595
6,Movie_6,Fantasy,Raj Mehta,French,2015,9.4,111,9014
7,Movie_7,"Action, Thriller, Romance",Raj Mehta,Hindi,2007,6.4,176,3588
8,Movie_8,"Comedy, Romance, Adventure",Rahul Verma,French,2018,8.9,121,3334
9,Movie_9,"Romance, Sci-Fi",Priya Singh,Hindi,2004,6.5,137,6354
10,Movie_10,"Drama, Comedy",Priya Singh,Hindi,2023,7.9,146,4589
11,Movie_11,Drama,Priya Singh,French,2023,4.0,136,739
12,Movie_12,"Sci-Fi, Comedy",Neha Kapoor,Hindi,2006,6.4,99,4369
13,Movie_13,Action,Rahul Verma,French,2012,9.8,141,9282
14,Movie_14,"Adventure, Fantasy",Neha Kapoor,Spanish,2009,2.5,110,6159
15,Movie_15,"Drama, Romance",Ankit Sharma,English,2005,1.2,115,839
16,Movie_16,"Romance, Action, Adventure",Ankit Sharma,English,2005,4.2,176,2563
17,Movie_17,"Adventure, Romance",Ankit Sharma,French,2014,4.3,174,6360
18,Movie_18,"Thriller, Adventure",Rahul Verma,Spanish,2007,5.7,92,1271
19,Movie_19,"Drama, Comedy",Neha Kapoor,English,2002,6.5,127,2266
20,Movie_20,Drama,Neha Kapoor,English,2005,1.3,102,3974
21,Movie_21,Fantasy,Raj Mehta,French,2000,3.8,177,8614
22,Movie_22,"Romance, Drama, Action",Raj Mehta,Hindi,2000,5.5,152,674
23,Movie_23,"Action, Adventure",Ankit Sharma,French,2001,4.1,107,449
24,Movie_24,Thriller,Raj Mehta,English,2009,2.4,155,5289
25,Movie_25,Action,Raj Mehta,Hindi,2002,8.3,178,9473
26,Movie_26,"Comedy, Action, Drama",Priya Singh,French,2024,7.9,85,2742
27,Movie_27,"Thriller, Drama",Raj Mehta,French,2014,8.9,88,2167
28,Movie_28,Adventure,Rahul Verma,Hindi,2024,3.5,137,2315
29,Movie_29,Sci-Fi,Neha Kapoor,Spanish,2016,6.7,178,1750
30,Movie_30,Sci-Fi,Rahul Verma,Hindi,2014,8.1,117,2562
31,Movie_31,"Romance, Sci-Fi",Neha Kapoor,Spanish,2009,3.0,116,947
32,Movie_32,Action,Raj Mehta,Spanish,2008,5.2,107,7222
33,Movie_33,Drama,Rahul Verma,French,2017,4.9,171,2955
34,Movie_34,"Comedy, Action",Ankit Sharma,Spanish,2023,2.8,158,878
35,Movie_35,"Comedy, Action",Neha Kapoor,French,2020,2.3,122,8725
36,Movie_36,Drama,Priya Singh,French,2021,4.4,99,6630
37,Movie_37,"Drama, Action, Thriller",Ankit Sharma,French,2006,8.7,153,8231
38,Movie_38,"Action, Fantasy, Adventure",Neha Kapoor,Spanish,2017,8.8,114,4911
39,Movie_39,"Drama, Action, Comedy",Arjun Gupta,French,2010,5.6,155,9072
40,Movie_40,"Romance, Sci-Fi",Arjun Gupta,Hindi,2022,6.5,140,7047
41,Movie_41,"Comedy, Thriller",Arjun Gupta,Hindi,2016,9.2,110,9288
42,Movie_42,Fantasy,Ankit Sharma,Hindi,2023,3.1,140,6269
43,Movie_43,"Fantasy, Thriller, Drama",Raj Mehta,English,2000,2.4,94,9933
44,Movie_44,Fantasy,Raj Mehta,Hindi,2021,8.7,121,3178
45,Movie_45,"Sci-Fi, Action",Raj Mehta,Hindi,2007,2.8,122,6869
46,Movie_46,"Sci-Fi, Fantasy, Romance",Ankit Sharma,Hindi,2004,6.4,177,3874
47,Movie_47,"Thriller, Drama, Romance",Raj Mehta,Spanish,2025,7.9,141,8055
48,Movie_48,"Sci-Fi, Adventure, Drama",Rahul Verma,Spanish,2021,2.7,119,4267
49,Movie_49,"Adventure, Fantasy, Comedy",Ankit Sharma,Hindi,2013,3.6,151,7370
50,Movie_50,"Fantasy, Action, Sci-Fi",Raj Mehta,Hindi,2012,6.0,156,1847
51,Movie_51,"Romance, Sci-Fi",Rahul Verma,Hindi,2016,3.2,140,4673
52,Movie_52,"Adventure, Comedy, Romance",Neha Kapoor,Hindi,2021,2.1,121,9746
53,Movie_53,"Thriller, Sci-Fi",Ankit Sharma,English,2006,8.1,103,4353
54,Movie_54,"Thriller, Action",Priya Singh,Spanish,2000,5.1,159,2153
55,Movie_55,"Adventure, Romance",Priya Singh,Hindi,2022,7.2,99,994
56,Movie_56,"Fantasy, Action, Romance",Arjun Gupta,Hindi,2021,7.3,166,2220
57,Movie_57,"Drama, Sci-Fi",Ankit Sharma,Spanish,2006,3.6,169,5348
58,Movie_58,Adventure,Ankit Sharma,Spanish,2015,3.0,123,867
59,Movie_59,"Comedy, Drama, Sci-Fi",Rahul Verma,Hindi,2003,7.9,86,4709
60,Movie_60,"Comedy, Drama, Fantasy",Rahul Verma,Hindi,2022,4.3,159,1945
61,Movie_61,Action,Ankit Sharma,Hindi,2007,7.0,159,3974
62,Movie_62,"Action, Fantasy",Arjun Gupta,Hindi,2017,1.1,94,1903
63,Movie_63,Drama,Priya Singh,French,2025,9.6,147,2030
64,Movie_64,Action,Priya Singh,Spanish,2013,6.7,153,841
65,Movie_65,Sci-Fi,Priya Singh,French,2019,6.4,135,4187
66,Movie_66,Action,Raj Mehta,French,2001,1.6,100,3115
67,Movie_67,"Drama, Fantasy",Priya Singh,French,2025,5.3,161,5835
68,Movie_68,Sci-Fi,Ankit Sharma,Spanish,2009,7.7,94,8688
69,Movie_69,"Comedy, Thriller",Arjun Gupta,Hindi,2016,2.0,148,3195
70,Movie_70,Fantasy,Priya Singh,French,2006,9.6,116,3623
71,Movie_71,Thriller,Ankit Sharma,English,2023,3.2,80,4285
72,Movie_72,"Comedy, Adventure",Ankit Sharma,Spanish,2009,8.3,107,5525
73,Movie_73,"Drama, Fantasy, Adventure",Neha Kapoor,Spanish,2001,7.9,93,5037
74,Movie_74,Fantasy,Arjun Gupta,French,2012,8.9,103,389
75,Movie_75,"Romance, Fantasy",Arjun Gupta,English,2009,6.8,161,6382
76,Movie_76,"Comedy, Adventure, Sci-Fi",Rahul Verma,French,2001,1.2,82,9229
77,Movie_77,"Fantasy, Action, Comedy",Raj Mehta,English,2025,8.8,97,1265
78,Movie_78,"Sci-Fi, Thriller",Ankit Sharma,French,2023,5.7,141,2904
79,Movie_79,"Thriller, Action",Rahul Verma,Spanish,2018,2.4,108,5018
80,Movie_80,"Comedy, Drama, Thriller",Raj Mehta,Hindi,2007,5.9,130,8676
81,Movie_81,"Adventure, Action, Comedy",Neha Kapoor,Hindi,2011,1.9,94,7724
